handle	name	specialty	github	github_followers	github_company	huggingface	scholar_id	sem_scholar_id	sem_scholar_h_index	sem_scholar_citations	dblp_pid	affiliation	website	avatar	bio	hackernews	arxiv_author
guillaumelample	Guillaume Lample	LLM training				glample	H7sVDmIAAAAJ	2382997618	7	1169	169/3307			/avatars/c3bc3656e4ff05663b54c6dd4f241891.svg			Guillaume Lample
hyhieu226	Hieu Pham	LLM training					0RvAVR4AAAAJ				254/2861-1			https://pbs.twimg.com/profile_images/1652532020604698624/IvvmwGPl.jpg			Hieu Pham
skalskip92	SkalskiP	computer vision												https://pbs.twimg.com/profile_images/1557421659925237763/RzJu2YI3.jpg
jimmybajimmyba	Jimmy Ba	optimization					ymzxRhAAAAAJ				78/9117			https://pbs.twimg.com/profile_images/1588327287795363841/LCtMroik.jpg			Jimmy Ba
yaringal	Yarin Gal	Bayesian deep learning					SIayDoQAAAAJ				67/9076			https://pbs.twimg.com/profile_images/612457376357163008/VQDM8ryA.jpg			Yarin Gal
hwchung27	Hyung Won Chung	LLM training					1CAlXvYAAAAJ				170/4267			https://pbs.twimg.com/profile_images/1920005086291574784/LxryMgPG.jpg			Hyung Won Chung
lawrennd	Neil Lawrence	probabilistic ML				lawrennd	r3SJcvoAAAAJ				l/NeilDLawrence			/avatars/1f38d3f3cca484e87dd507917d88b7cd.svg			Neil Lawrence
janexwang	Jane Wang	RL / neuro-AI					YizAq4gAAAAJ	2116439435	3	96	356/7868			https://pbs.twimg.com/profile_images/1324000304652759040/ZCBaTTBe.jpg			Jane Wang
aleks_madry	Aleksander Madry	robustness					SupjsEUAAAAJ	2297068232	7	313	67/2454			https://pbs.twimg.com/profile_images/882522297621504000/KblVGr8r.jpg			Aleksander Madry
animesh_garg	Animesh Garg	robotics				animesh-garg	zp8V7ZMAAAAJ				123/5728			https://cdn-avatars.huggingface.co/v1/production/uploads/624a0cdfd9520873d3a11170/DEbChl9ar7C0HQG8Aej9Z.jpeg			Animesh Garg
smerity	Stephen Merity	NLP / LM				smerity	AolIi4QAAAAJ	3375440	9	6702	177/9285	Salesforce Research	http://smerity.com/	/avatars/312e0f70579e73ebf81cc00a574f00f8.svg			Stephen Merity
trapitbansal	Trapit Bansal	LLM reasoning					hHPeXmYAAAAJ				142/3237			https://pbs.twimg.com/profile_images/1364394391570325510/PtppRV8Y.jpg			Trapit Bansal
